latitude,longitude,floor_material,bike,car,pigs,celular,moto,telephone,tv,wash_after_poop,water_source,sex,age
-25.1638929761,32.7968554586,Cement,no,no,no,yes,no,no,no,Nothing,NA,female,36.7838020425427
-25.5117844073,32.7139977626,Adobe,yes,no,no,no,no,no,no,NA,Fontenary,female,70.7421114490868
-25.0504616667,32.78485,Cement,no,yes,no,yes,no,no,yes,"yes, with water and soap",NA,female,18.1456556038699
-25.3656329959,32.7110256102,Cement,no,no,no,no,no,no,no,"Only water, without soap",NA,male,42.1824826694712
-25.5164097757,32.7270271014,Cement,no,no,no,yes,no,yes,yes,NA,Piped water in the yard,female,31.8519237921982
-25.3402003751,32.9614379797,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,female,27.0361408411233
-25.2922453419,32.8463111482,Cement,no,no,no,yes,no,no,no,Nothing,NA,female,25.4356582927934
-25.4856919418,32.740632152,Cement,no,no,no,no,no,no,no,Nothing,NA,female,42.6384513029046
-25.3175160072,32.8276292026,Cement,no,no,no,yes,no,no,no,Nothing,Piped water in the yard,female,51.3045497522745
-25.060413307,32.7546578641,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the yard,male,38.5015345311566
-25.1734458145,32.8086386854,Cement,no,no,no,yes,no,no,no,Nothing,NA,female,31.4494696404406
-25.3793442902,33.0029674902,Cement,no,no,no,yes,no,yes,no,Nothing,NA,male,30.7136601422382
-25.3922364573,32.8080344696,Cement,yes,no,no,yes,no,no,yes,Nothing,NA,female,19.9354186229384
-25.3980672676,32.7381451602,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the house,female,33.0472891090002
-25.0942881081,32.9108854229,Cement,no,no,no,no,no,no,yes,"yes, with water and soap",Piped water in the yard,female,49.6408404109577
-25.4732817818,32.676173549,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,male,18.8038484428363
-25.3905803499,32.8202255012,Cement,no,no,no,yes,no,no,no,"Only water, without soap",NA,female,45.9044560557232
-25.4000174454,32.7528196587,Cement,no,no,no,no,no,no,no,Nothing,NA,male,56.4740910895143
-25.3901833333,32.8034633333,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,female,20.4017838642397
-25.4012456269,32.801466932,Cement,yes,no,no,yes,no,no,no,Nothing,NA,female,24.4004948544715
-25.2477185858,32.8541698723,Cement,yes,no,no,NA,no,yes,no,"Only water, without soap",Piped water in the yard,male,36.4714637061601
-25.0534089536,32.7744533982,Cement,no,no,no,yes,no,no,yes,"yes, with water and soap",Piped water in the yard,male,33.2541102920698
-25.4416192379,32.7684591914,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,22.7604835369867
-25.4481816562,32.6714017105,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,female,32.8151131703098
-25.384162792,32.7853631203,Cement,yes,no,yes,yes,no,no,yes,Nothing,Piped water in the yard,female,44.69470033332
-25.449404046,32.7698851989,Cement,no,no,no,no,no,no,yes,NA,Piped water in the yard,female,72.2770152658252
-25.4371891537,32.8926480853,Cement,no,no,no,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,female,41.6665976804442
-25.3153234312,32.8270730535,Cement,yes,no,no,yes,no,no,no,"Only water, without soap",Unprotected well,female,19.4782967850972
-25.0475552591,32.790042591,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,male,41.6996504160324
-25.5411293916,32.6454936357,Cement,no,no,no,yes,no,no,yes,"yes, with water and soap",NA,female,32.0288607374565
-25.4039543183,32.7960506205,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the house,female,33.6553197760876
-25.5622311748,32.6423888344,Cement,yes,no,no,yes,no,no,yes,NA,Piped water in the yard,female,37.752262463639
-25.4819155036,32.7319951397,Cement,no,no,no,NA,no,yes,yes,Nothing,Piped water in the yard,male,20.5298178432401
-25.3297340073,32.7742500007,Cement,yes,yes,yes,NA,no,yes,yes,"yes, with water and soap",Unprotected well,male,33.870893134844
-25.3842594816,32.7974358521,Cement,no,no,no,yes,no,no,no,NA,Unprotected well,female,22.8766762245341
-25.3611420692,32.7753072232,Cement,yes,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,female,47.5742395291125
-25.427284993,32.7559966556,Cement,no,no,no,yes,no,no,no,Only soap,Piped water in the yard,male,47.6503584445813
-25.0674737462,32.8130182021,Cement,no,no,no,yes,no,no,yes,"yes, with water and soap",Piped water in the yard,female,20.6342906128759
-25.2648992789,32.8527768695,Cement,no,no,no,yes,no,no,no,"Only water, without soap",Piped water in the house,male,33.5330620798545
-25.4175009147,32.6957471427,Cement,no,no,no,NA,no,yes,no,"Only water, without soap",Piped water in the yard,female,22.239091064478
-25.1764793612,32.8518471313,Cement,no,no,no,yes,yes,no,yes,NA,Piped water in the yard,female,49.7396222825678
-25.3937074749,32.7972745379,Without,no,no,yes,no,no,no,no,Nothing,NA,male,25.0641254718972
-25.36886411,32.9300324661,Cement,no,yes,no,NA,no,yes,yes,"yes, with water and soap",Piped water in the yard,female,19.494121914216
-25.4105937376,32.8053176932,Cement,no,no,no,no,no,no,no,Nothing,NA,female,50.377729227111
-25.4678460867,32.7568776883,Without,yes,no,no,yes,no,no,no,Nothing,NA,male,63.5802828779765
-25.0516928287,32.7291789825,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the house,female,22.2345746877075
-25.0948707066,32.9111780312,Cement,no,no,no,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,male,32.8674572405612
-25.2888960585,32.8481408976,Cement,no,no,no,yes,no,no,no,"Only water, without soap",Piped water in the yard,female,34.6817791670076
-25.0565977251,32.7774992367,Without,no,no,no,yes,no,no,no,"Only water, without soap",NA,male,18.5684224947861
-25.4962102772,32.6490565577,Cement,no,no,yes,yes,no,no,no,NA,Unprotected well,male,36.8307140332215
-25.4052395356,32.7543597548,Cement,no,no,no,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,male,36.1597239241068
-25.3705816198,32.8171855869,Cement,no,no,no,yes,no,no,yes,"yes, with water and soap",Piped water in the yard,female,33.2678269378407
-25.0527274043,32.7853502205,Cement,no,no,no,no,no,no,yes,Nothing,NA,female,66.0315088796853
-25.251272394,32.8662457399,Cement,no,no,no,NA,no,yes,yes,Nothing,Piped water in the yard,female,41.7459930852029
-25.0533853316,32.7717357745,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,female,61.0908297616011
-25.1745578615,32.9631763102,Adobe,no,no,no,yes,no,no,no,"yes, with water and soap",NA,male,22.1121259491237
-25.0597781179,32.7592150789,Cement,no,no,no,NA,no,yes,yes,Nothing,Piped water in the yard,female,21.2814759234263
-25.3784171349,32.7974672619,Cement,no,no,no,no,no,no,doesn't know,NA,Unprotected well,female,19.2789379736536
-25.394063271,32.818082623,Cement,no,no,no,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,male,34.3378450016532
-25.1688786259,33.06405535,Cement,no,no,no,no,no,no,no,NA,Unprotected well,female,57.5759529351226
-25.1967737151,32.8386262596,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,male,50.231510693264
-25.1723033077,32.8112118653,Adobe,no,no,no,yes,no,no,no,NA,Unprotected well,female,27.9587901651706
-25.3880329972,32.81033399,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,51.3780643122089
-25.5010164599,32.6563568594,Cement,no,no,no,NA,no,yes,no,"Only water, without soap",Piped water in the yard,female,34.8959844609288
-25.0127662813,32.8349490986,Cement,no,no,no,NA,no,yes,yes,Nothing,Piped water in the yard,female,38.3722403850356
-25.4480228918,32.8805770157,Cement,no,no,no,yes,no,no,no,NA,Unprotected well,male,18.9095674829969
-25.3404988355,32.726214246,Adobe,no,no,no,yes,no,no,no,NA,Unprotected well,male,43.7689528299453
-25.2612612696,32.8644559283,Cement,no,no,yes,yes,no,no,yes,NA,Piped water in the house,male,31.251257634772
-25.4091204976,32.7804687429,Cement,no,no,no,NA,no,yes,yes,"yes, with water and soap",Piped water in the house,female,38.8274564431763
-25.0548199215,32.7575483606,Cement,no,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,female,35.743555517379
-25.050954975,32.7853419091,Cement,no,yes,no,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,female,18.1163542356403
-25.0485719019,32.7853431318,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,male,34.0935189136446
-25.0698746561,32.8357826411,Cement,no,no,no,yes,no,no,no,NA,Fontenary,female,25.7691117240641
-25.4008169545,32.7990418974,Cement,no,no,no,no,no,no,no,"Only water, without soap",NA,female,37.6130586632033
-25.3650828299,32.7794343759,Cement,no,no,no,yes,no,no,no,NA,Piped water in the yard,female,30.8757854923693
-25.1829248151,32.8385291154,Cement,no,no,no,yes,no,no,no,"Only water, without soap",NA,female,30.3368190430852
-25.1552566667,32.864925,Cement,no,no,no,no,no,no,no,NA,Fontenary,female,36.1091601323311
-25.3760110895,32.6336883867,Cement,no,no,no,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,male,56.5433362229122
-25.1729252679,32.8180710192,Without,no,no,no,no,no,no,no,NA,Unprotected well,male,53.4068013642272
-25.0143789587,32.8363364356,Adobe,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,26.707088747714
-25.2642611872,32.8663034933,Cement,no,no,yes,yes,no,no,no,Nothing,Piped water in the yard,female,50.7088771516235
-25.4023886935,32.7982983214,Cement,no,no,no,yes,no,no,no,NA,Unprotected well,female,25.1422474689243
-25.4440948844,32.768346222,Cement,yes,no,no,yes,no,no,yes,Nothing,Piped water in the yard,male,55.9916738782625
-25.2884966922,32.8463063761,Cement,yes,no,no,yes,yes,no,yes,NA,Protected well,female,25.917303369209
-25.4838121343,32.7480054735,Cement,no,no,no,yes,no,no,no,NA,Unprotected well,female,34.4473137685766
-25.1685982648,32.8052222208,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the yard,male,35.2898723769339
-25.05535866,32.780563654,Wood,no,yes,no,NA,no,yes,yes,"yes, with water and soap",Piped water in the house,male,31.2194437614061
-25.1645251137,32.7966424299,Cement,no,no,no,yes,no,no,yes,"yes, with water and soap",Piped water in the yard,female,37.0363007711119
-25.367599546,32.9801391109,Cement,no,no,no,yes,no,yes,yes,"yes, with water and soap",Piped water in the yard,male,42.0925183856763
-25.3591220608,32.7306460683,Cement,no,no,no,yes,no,no,no,NA,Unprotected well,female,21.3230965712735
-25.4484944361,32.7659371225,Without,no,no,no,no,no,no,no,NA,Unprotected well,male,19.2314501547313
-25.0517530604,32.7290321606,Cement,no,no,no,no,no,no,no,NA,Unprotected well,male,18.5972603671984
-25.5024850618,32.6526594532,Without,no,no,no,no,no,no,no,Nothing,NA,male,47.8906335561102
-25.4210517333,32.731003546,Cement,no,no,no,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,female,18.9414693637884
-25.45126159,32.7695928254,Cement,no,no,yes,yes,no,no,no,Nothing,NA,male,34.0831815229327
-25.3908650395,32.8184183827,Cement,no,no,no,yes,no,no,no,NA,Fontenary,male,21.3921617983787
-25.3984840987,32.7853011998,Cement,no,no,no,NA,no,yes,yes,Only soap,Piped water in the yard,female,25.8055446949102
-25.3984589417,32.8108959917,Cement,no,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,male,31.2388850243169
-25.5130022492,32.7308758756,Cement,yes,no,no,yes,no,no,yes,NA,Piped water in the yard,male,34.6461259995747
-25.0619841488,32.7578336917,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the house,female,18.9332948740707
-25.4899038497,32.5866034502,Cement,no,no,no,NA,no,yes,yes,Nothing,Piped water in the yard,female,43.1949269827698
-25.4244059523,32.7392665094,Without,no,no,no,no,no,no,no,NA,Unprotected well,female,19.5908079021238
-25.3888105539,32.7973670662,Without,no,no,no,yes,no,no,no,Nothing,NA,female,25.1135040509935
-25.4989132838,32.7152667188,Cement,no,yes,no,yes,yes,no,yes,"yes, with water and soap",Piped water in the yard,male,25.0974134215885
-25.553560145,32.6490174444,Cement,yes,no,no,yes,no,no,no,Nothing,NA,female,51.2110745954586
-25.244881554,32.8574972953,Adobe,no,no,no,no,no,no,no,NA,Piped water in the yard,female,40.7804288008009
-25.3000893319,32.9786409446,Cement,yes,no,no,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,male,22.1631940969408
-25.1614709102,32.8087487593,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,37.7282719110748
-25.0538597093,32.7797595546,Cement,no,no,no,yes,no,no,no,NA,Piped water in the yard,male,32.930065196676
-25.4078458757,32.7954285983,Cement,no,no,no,yes,no,yes,yes,Nothing,Piped water in the yard,male,27.9511773163045
-25.4322733677,32.7857381867,Cement,yes,no,no,yes,no,no,no,Nothing,NA,male,37.3589162602784
-25.5485157674,32.654685883,Without,yes,no,no,NA,no,yes,no,"Only water, without soap",Piped water in the yard,female,59.7384604085401
-25.3542404758,32.8179305711,Cement,no,no,no,yes,no,no,no,"Only water, without soap",Piped water in the yard,male,26.5160939519643
-25.2876801665,32.8585368549,Cement,no,no,no,no,no,no,no,Nothing,NA,female,45.1337303134528
-25.0524723223,32.7955052038,Cement,no,no,no,no,no,no,no,Nothing,NA,female,45.5978323057068
-25.3908342035,32.8072967899,Mosaic / Hardboard,yes,no,no,yes,no,no,yes,"yes, with water and soap",Piped water in the house,male,24.4194738223721
-25.1734196077,32.8375243747,Cement,no,no,no,yes,no,no,no,NA,Piped water in the yard,male,23.9569252761778
-25.4601642083,32.7505393052,Cement,yes,no,no,yes,no,no,no,NA,Unprotected well,male,50.6825180361272
-25.3693162293,32.7970499567,Cement,no,no,no,no,no,no,no,Nothing,NA,male,26.7276432383305
-25.4522133854,32.7619283594,Mosaic / Hardboard,no,yes,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,male,28.511844575651
-25.0124892935,32.8438067279,Cement,no,no,no,no,no,no,no,Nothing,NA,female,19.856253485341
-25.2619581923,32.8681803843,Mosaic / Hardboard,no,no,no,NA,no,yes,no,"yes, with water and soap",Piped water in the yard,male,49.5958026434328
-25.3631878615,32.7339398547,Cement,no,no,no,yes,no,no,no,NA,Piped water in the yard,male,44.8316587487295
-25.5277630879,32.7266391537,Cement,no,no,no,NA,no,yes,yes,"yes, with water and soap",Piped water in the yard,male,26.8827874972467
-25.0570823239,32.7956277987,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the yard,female,56.2989892142031
-25.5608667415,32.7002040439,Cement,no,no,no,no,no,no,doesn't know,NA,Piped water in the yard,female,41.8452305776318
-25.252741325,32.8617458668,Cement,no,no,no,yes,no,no,no,Nothing,NA,female,45.3116825747138
-25.0525143018,32.785547344,Cement,no,no,no,yes,no,no,no,Nothing,Piped water in the yard,female,24.050204349092
-25.3681403962,32.7626127473,Cement,no,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,female,20.2498225259829
-25.4545499804,32.771348963,Cement,yes,no,no,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,female,19.6729096155524
-25.3993523012,32.8039490095,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,female,49.1200092302623
-25.4553138368,32.7547496553,Cement,no,no,yes,yes,no,no,no,Nothing,Unprotected well,female,36.6853788851608
-25.3861191716,32.8126455637,Cement,yes,no,yes,NA,no,yes,yes,"yes, with water and soap",Piped water in the yard,male,21.9564672369638
-25.4378311708,32.770755017,Cement,yes,no,no,yes,no,no,yes,NA,Piped water in the yard,male,31.9473021513645
-25.4368517802,32.7753361327,Cement,no,no,no,yes,no,no,no,NA,Fontenary,female,26.9993271228232
-25.2851419033,32.741637532,Adobe,no,no,no,yes,no,no,no,Nothing,NA,female,26.6775240649016
-25.4386839753,32.781751934,Without,yes,no,no,yes,no,no,yes,NA,Unprotected well,female,29.2467596851293
-25.3702085918,32.812755438,Cement,yes,no,no,no,no,no,no,"yes, with water and soap",NA,male,48.1996202191479
-25.3797355423,32.8209340999,Cement,yes,no,no,yes,no,no,no,"Only water, without soap",Piped water in the yard,female,37.883659311623
-25.3990703681,32.8026668321,Adobe,no,no,yes,yes,no,no,no,Nothing,Piped water in the yard,female,25.8699960601319
-25.1535865331,32.8032744586,Cement,no,yes,no,yes,no,no,yes,Nothing,Piped water in the yard,female,26.1159507112285
-25.4901340843,32.6503868429,Cement,no,no,no,yes,no,no,no,NA,Piped water in the yard,male,51.9977672654257
-25.2259931367,32.6657846065,Without,no,no,no,no,no,no,no,Nothing,NA,female,31.6159169520287
-25.369522824,32.8162914986,Cement,no,yes,no,yes,no,no,yes,NA,Piped water in the yard,female,52.3931691778024
-25.1498575765,32.9580753422,Without,no,no,no,yes,no,no,no,NA,Unprotected well,female,30.6781470984531
-25.4085950588,32.8058481374,Cement,yes,no,yes,yes,no,no,no,Nothing,NA,female,47.4004684934486
-25.3155993241,32.827321915,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,female,20.9977039348828
-25.4938527225,32.6570451238,Cement,no,no,no,yes,no,no,no,NA,Unprotected well,female,26.6072813877876
-25.4582645313,32.7638306524,Cement,no,no,yes,yes,no,no,yes,NA,Fontenary,male,22.2836690182977
-25.4035718032,32.8021921039,Cement,yes,no,no,yes,no,no,yes,NA,Piped water in the yard,female,49.0832097489015
-25.4375335997,32.6913379965,Cement,no,no,no,yes,no,no,yes,Nothing,NA,male,44.1425006698911
-25.4109713895,32.9115474659,Cement,no,no,no,yes,no,no,no,NA,Piped water in the yard,male,35.2590153855741
-25.051346839,32.7793126776,Cement,no,no,no,yes,no,no,no,NA,Unprotected well,female,38.2477882986666
-25.5071781634,32.661723563,Cement,yes,yes,no,yes,no,yes,yes,"yes, with water and soap",Piped water in the yard,male,42.4545102991097
-25.2701324187,32.8509819643,Cement,no,no,no,yes,no,no,no,NA,Piped water in the yard,female,27.77698356448
-25.5570209431,32.6606536749,Adobe,yes,no,no,yes,no,no,no,NA,Unprotected well,male,22.3226779642739
-25.5405633978,32.6525997516,Cement,no,no,no,yes,no,no,no,NA,Protected well,male,21.6582888067263
-25.3794256806,32.8071779736,Cement,no,no,no,no,no,no,yes,"yes, with water and soap",Piped water in the yard,female,30.0830652903504
-25.1203524556,32.7584838836,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,female,18.9942740025697
-25.2452180663,32.8629029794,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,58.6671347976885
-25.472139971,32.7454685982,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the yard,male,32.8079163630921
-25.3761410582,32.7590340817,Cement,no,no,no,yes,no,no,yes,"Only water, without soap",Protected well,female,44.5494718101947
-25.3955934079,32.8080439252,Cement,no,no,no,yes,no,no,no,Nothing,NA,female,87.3289467527231
-25.1640293019,32.8088524329,Cement,no,no,no,yes,no,no,no,NA,Piped water in the house,male,31.6829711864748
-25.5155774337,32.6659984583,Cement,yes,no,no,NA,no,yes,yes,Nothing,Piped water in the yard,female,32.8222976148246
-25.1812409077,32.8197694021,Adobe,no,no,no,no,no,no,no,NA,Unprotected well,female,67.7543373841585
-25.0768253029,32.747281467,Cement,yes,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,male,43.6504081236189
-25.3587087216,32.7895745154,Cement,yes,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,female,20.5083166528261
-25.0673127231,32.8604835856,Adobe,no,no,no,NA,no,yes,no,Nothing,Piped water in the house,male,40.4453594996631
-25.4837475185,32.6684559379,Cement,yes,no,no,NA,yes,yes,yes,"Only water, without soap",Piped water in the yard,female,27.4339329826943
-25.2460112395,32.8607712176,Cement,no,no,no,yes,no,no,no,Nothing,NA,male,29.469688011059
-25.0933639394,32.9109476903,Cement,yes,no,no,NA,no,yes,yes,Nothing,Piped water in the house,male,39.470215072896
-25.425233165,32.7792940426,Cement,yes,no,no,yes,no,no,yes,"Only water, without soap",Protected well,male,43.4231984007757
-25.4239660815,32.7129471452,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,37.7928896957588
-25.2603626552,32.8689558184,Cement,no,no,no,yes,no,no,yes,NA,Unprotected well,female,49.0696947782648
-25.59253993,32.6799448853,Cement,no,no,yes,yes,no,no,no,"Only water, without soap",Piped water in the yard,female,56.4043624861201
-25.5565533449,32.6537849911,Cement,no,no,no,yes,no,no,no,Nothing,Piped water in the yard,female,32.4310580392835
-25.369905079,32.6975044368,Without,no,no,no,yes,no,no,no,NA,Protected well,female,19.0192543036671
-25.3926584335,32.8064800758,Cement,no,no,no,yes,no,no,no,Nothing,NA,female,25.318462365832
-25.0518133872,32.7819160968,Cement,no,no,no,yes,no,no,no,Nothing,NA,female,28.8445615961228
-25.1888745411,32.8290410955,Cement,no,no,no,yes,no,no,yes,"yes, with water and soap",Piped water in the yard,female,55.0195965565864
-25.2633029257,32.8645441814,Cement,yes,no,no,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,male,27.427130075321
-25.3015080657,32.8393784843,Cement,yes,no,no,yes,no,no,yes,Nothing,Piped water in the yard,female,30.1257620363324
-25.1561642237,32.798629734,Cement,no,no,no,no,no,no,no,Nothing,NA,male,42.1513503715409
-25.2727090162,32.8674597409,Adobe,no,no,no,no,no,no,no,Nothing,NA,male,28.2424682720149
-25.5015554705,32.7345997171,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,49.9463977892614
-25.3977833333,32.78936,Cement,yes,no,no,yes,no,no,yes,Nothing,NA,female,18.9770464223914
-25.154044971,32.7863697769,Cement,no,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,female,23.9073497356507
-25.3166005768,32.6214762084,Cement,no,no,no,NA,no,yes,no,Nothing,Unprotected well,female,32.0251865618971
-25.4535002797,32.6688214431,Cement,no,no,no,no,no,no,no,Nothing,NA,male,21.2778000012328
-25.4393442503,32.7739571249,Mosaic / Hardboard,yes,no,no,yes,no,no,yes,NA,Piped water in the yard,female,29.8883302184726
-25.2399947036,32.8614999152,Cement,yes,no,no,yes,no,no,yes,NA,Piped water in the yard,male,20.3181637094712
-25.4863838889,32.6859760797,Cement,no,no,no,yes,no,no,no,Nothing,Piped water in the yard,male,20.1603934357332
-25.0473090412,32.7842524289,Cement,no,no,no,yes,no,no,no,Nothing,NA,female,27.0636165309392
-25.5572029232,32.6680197081,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,female,26.7234549571099
-25.3907774209,32.8066783418,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the house,male,33.7921301272354
-25.0486901266,32.7828684602,Cement,no,no,no,yes,no,no,no,NA,Protected well,female,44.1093246051518
-25.4481937684,32.7662222853,Cement,no,yes,no,yes,no,no,yes,NA,Unprotected well,male,24.4946337502774
-25.3653253589,32.9337266032,Cement,yes,no,no,yes,no,no,yes,Nothing,NA,male,50.8543644541084
-25.1543264608,32.7978712654,Cement,no,no,no,yes,no,no,yes,"yes, with water and soap",Piped water in the house,male,32.1114477152322
-25.2748068198,32.8564443879,Cement,no,no,no,yes,no,no,no,"yes, with water and soap",Piped water in the yard,male,26.2181657399945
-25.3047291606,32.8346611033,Adobe,no,no,no,no,no,no,no,NA,Unprotected well,female,18.6475403617069
-25.4703944029,32.6608863024,Adobe,no,no,no,yes,no,no,no,NA,Unprotected well,male,46.2529434366332
-25.2818417953,32.868105082,Adobe,no,no,no,yes,no,no,no,NA,Unprotected well,female,32.0838500711205
-25.55982517,32.6828826618,Without,no,no,no,yes,no,no,no,Only soap,Piped water in the yard,female,18.9094272209217
-25.0776390818,32.8414140672,Without,no,no,no,no,no,no,no,Nothing,NA,female,38.2796485826589
-25.2467069527,32.9930248981,Cement,yes,no,yes,NA,no,yes,yes,Nothing,Piped water in the yard,female,21.7259037531926
-25.3447310165,32.9537151153,Mosaic / Hardboard,no,no,no,yes,no,yes,yes,"yes, with water and soap",Piped water in the yard,female,25.390786480155
-25.4109339777,32.8056207051,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,female,30.9469876812943
-25.3872461856,32.7369562184,Without,no,no,no,yes,no,no,no,Nothing,NA,female,20.561724871191
-25.4962676603,32.6551755674,Cement,no,no,no,yes,no,no,no,NA,Protected well,female,21.4072348386275
-25.067941827,32.8110085084,Cement,no,yes,no,yes,no,no,yes,Nothing,Piped water in the yard,male,32.6851860919506
-25.0417740883,32.7853972739,Cement,no,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,female,35.5999487014294
-25.4336241389,32.7817215522,Cement,no,no,no,yes,no,no,no,NA,Protected well,female,19.4428656048987
-25.430192426,32.8953970776,Cement,no,no,no,NA,no,yes,no,"Only water, without soap",Piped water in the yard,female,70.6464944410932
-25.0512148525,32.7291683242,Cement,no,no,no,yes,no,no,no,NA,Piped water in the yard,male,46.122027217221
-25.4108246069,32.7837260397,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,26.0624428908461
-25.2940221004,32.8413452986,Cement,yes,no,no,NA,no,yes,no,"Only water, without soap",Piped water in the yard,female,49.8118733588459
-25.2400406378,32.8476532488,Cement,no,no,no,no,no,no,no,NA,Piped water in the yard,female,49.7648579059119
-25.1828646422,32.8250959688,Cement,yes,no,no,yes,no,no,no,"Only water, without soap",NA,male,64.2934502668763
-25.2509544098,32.8635207841,Cement,no,no,no,yes,no,no,no,Nothing,NA,female,24.1717683855559
-25.3719617334,32.9312561312,Cement,yes,no,no,yes,no,no,no,Nothing,NA,female,36.3842365794215
-25.3454395482,32.9502134527,Cement,no,no,no,yes,no,yes,no,Nothing,NA,female,32.1790810367129
-25.0776314939,32.8212968505,Cement,no,no,no,yes,no,no,no,NA,Protected well,female,33.8346448641966
-25.3189283333,32.6862416667,Cement,yes,no,no,yes,no,no,no,"yes, with water and soap",NA,male,31.5517155162073
-25.397832447,32.812824885,Cement,yes,no,no,yes,no,no,yes,NA,Unprotected well,male,35.1684128676539
-25.4247102391,32.7848055845,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,51.8610238195563
-25.3611083062,32.7963493017,Cement,no,no,no,NA,no,yes,yes,Nothing,Piped water in the house,male,18.1818864640299
-25.4102884202,32.8009372411,Cement,no,no,no,yes,no,yes,yes,"Only water, without soap",NA,female,24.8448481129759
-25.3963287957,32.8048659126,Cement,yes,no,no,yes,no,no,yes,NA,Piped water in the yard,female,49.9515232034813
-25.3890983333,32.8023066667,Cement,no,no,no,yes,no,no,no,NA,Unprotected well,female,40.5266518841852
-25.3927144777,32.7258593596,Cement,no,no,no,yes,no,yes,no,Nothing,NA,male,22.4809134176136
-25.1783633333,32.8420266667,Adobe,no,no,no,no,no,no,no,NA,Fontenary,female,40.4798415235546
-25.4461304749,32.7704365879,Cement,no,no,no,yes,no,no,no,Nothing,Piped water in the yard,male,48.8718366477469
-25.5680585207,32.678430031,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the house,female,35.8991319939161
-25.0535256199,32.7834789836,Cement,no,no,no,no,no,no,no,"Only water, without soap",NA,female,21.4980514459593
-25.4481965592,32.7721809769,Cement,no,no,no,NA,no,yes,yes,Nothing,Piped water in the yard,female,28.2441826750179
-25.1529201755,32.9416540875,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,female,27.1394210843585
-25.4460498691,32.7649578081,Cement,no,no,no,yes,no,no,no,NA,Fontenary,female,23.1567968845648
-25.0620803731,32.7586734433,Cement,no,no,no,yes,no,no,no,NA,Unprotected well,male,19.1911931466406
-25.3075565865,32.8278925577,Cement,yes,no,no,yes,no,no,yes,NA,Fontenary,female,18.9004469289268
-25.5538601526,32.668360939,Cement,no,yes,no,yes,no,no,yes,NA,Piped water in the yard,male,37.2542699721683
-25.4432809979,32.7759325594,Cement,no,no,no,yes,no,no,no,Nothing,NA,female,44.8270524384732
