data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
4785179,454,MAW314,314,"18 October 2016",2016,1,Protests,"Protest with intervention","Protesters (Malawi)",,6,"Police Forces of Malawi (2014-)",,1,16,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,Malawi24,National,"Police intercepted a march against the persistant black-outs in Malawi. The leader, Mayaya, and 2 others were arrested.",0,1552577170,MWI
5280297,454,MAW313,313,"13 October 2016",2016,1,Riots,"Violent demonstration","Rioters (Malawi)",,5,"Police Forces of Malawi (2014-)",,1,15,"Eastern Africa",Malawi,Southern,Mulanje,"Mulanje Boma",Mulanje,-16.0333,35.5,2,"Nyasa Times (Malawi)",National,"Violence erupted at a rally addressed by the Mulanje Governor. The police rushed to the rally and quelled the violence, arresting villagers.",0,1561469182,MWI
5280296,454,MAW312,312,"19 September 2016",2016,2,Riots,"Violent demonstration","Rioters (Malawi)",,5,"Police Forces of Malawi (2014-)",,1,15,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,"Nyasa Times (Malawi)",National,"Students of the Lilongwe University of Agriculture and Natural Resources protested the increase in fees by blocking roads with burning tires. The police fired teargas at the students and at a new crew. 26 studetns were arrested",0,1561469182,MWI
5280294,454,MAW310,310,"18 September 2016",2016,2,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Northern,Karonga,"Karonga Town",Karonga,-9.9333,33.9333,1,"Nyasa Times (Malawi)",National,"Residents in Karonga have held a wave of demonstrations protesting the corruption of local officials.",0,1561469182,MWI
5280295,454,MAW311,311,"18 September 2016",2016,2,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Central,Mchinji,"Mchinji Boma",Mchinji,-13.7984,32.8802,1,"Nyasa Times (Malawi)",National,"Residents in Mchinji have held a wave of demonstrations protesting the corruption of local officials.",0,1561469182,MWI
5280292,454,MAW309,309,"13 September 2016",2016,1,Protests,"Protest with intervention","Protesters (Malawi)",,6,"Police Forces of Malawi (2014-)",,1,16,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,Xinhua,International,"Primary School students marched to the Lilongwe District Education Office to protest the teachers strike. Police fired teargas to disperse them",0,1561469182,MWI
5280291,454,MAW308,308,"11 September 2016",2016,1,Protests,"Peaceful protest","Protesters (Malawi)","TUM: Teachers Union of Malawi",6,,,0,60,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,3,"Malawi24; Xinhua",National,"The Teachers Union of Malawi has been holding a sit-in to force the government to meet their demands",0,1561469182,MWI
4793176,454,MAW307,307,"08 September 2016",2016,1,"Violence against civilians",Attack,"MCP: Malawi Congress Party",,3,"Civilians (Malawi)",,7,37,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,Malawi24,National,"MCP members assaulted the lawyer who delivered the court summons for the MCP President",0,1552577180,MWI
5280290,454,MAW306,306,"21 August 2016",2016,1,"Strategic developments",Other,"MCP: Malawi Congress Party",,3,"Police Forces of Malawi (2014-)",,1,13,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,"Nyasa Times (Malawi)",National,"Non-violent activity: Malawi Congress Party members involved in an internal party squabble were apprehended in an attempt to petrol bomb the party headquarters in Lilongwe.",0,1561469182,MWI
5280288,454,MAW304,304,"04 August 2016",2016,1,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Northern,Mzimba,"TA Chindi",Mzuzu,-11.45,33.5833,1,"Nyasa Times (Malawi)",National,"Civil Society Organisations staged a protest in solidarity with the students protesting the increase in fees.",0,1561469182,MWI
